kappa,q,sigma,E,iters,converged
0.5,-2.0,0.5,-0.47502423173425606,135,True
0.5,-2.0,1.125,0.03498257889503604,139,True
0.5,-2.0,1.75,0.3261162807104632,133,True
0.5,-2.0,2.375,0.49346805643993047,122,True
0.5,-2.0,3.0,0.5868395787089126,111,True
0.5,-1.0,0.5,0.1303403191984468,115,True
0.5,-1.0,1.125,0.3921407284085843,115,True
0.5,-1.0,1.75,0.5311092430235503,110,True
0.5,-1.0,2.375,0.6076099557281259,103,True
0.5,-1.0,3.0,0.6501256730934953,96,True
0.5,0.0,0.5,0.706543294088913,69,True
0.5,0.0,1.125,0.7065432940889301,69,True
0.5,0.0,1.75,0.7065432940889513,69,True
0.5,0.0,2.375,0.706543294088924,69,True
0.5,0.0,3.0,0.7065432940889544,69,True
0.5,1.0,0.5,1.256680919953873,93,True
0.5,1.0,1.125,0.9886412825778537,93,True
0.5,1.0,1.75,0.8609050418798249,90,True
0.5,1.0,2.375,0.7943465932712379,88,True
0.5,1.0,3.0,0.7576306757633722,84,True
0.5,2.0,0.5,1.7839554495107774,90,True
0.5,2.0,1.125,1.2458903695118186,92,True
0.5,2.0,1.75,0.9995411821412318,91,True
0.5,2.0,2.375,0.8736364440437112,89,True
0.5,2.0,3.0,0.8044500087295813,87,True
1.125,-2.0,0.5,-0.23143304140856436,126,True
1.125,-2.0,1.125,0.23372860138372814,131,True
1.125,-2.0,1.75,0.5208644009091904,130,True
1.125,-2.0,2.375,0.7094020507192419,125,True
1.125,-2.0,3.0,0.8324417037170179,118,True
1.125,-1.0,0.5,0.42560586458223487,109,True
1.125,-1.0,1.125,0.6680766470661933,111,True
1.125,-1.0,1.75,0.809894295961662,109,True
1.125,-1.0,2.375,0.8981716074417306,104,True
1.125,-1.0,3.0,0.954247405174297,100,True
1.125,0.0,0.5,1.0593918184157645,70,True
1.125,0.0,1.125,1.0593918184157542,70,True
1.125,0.0,1.75,1.0593918184157707,70,True
1.125,0.0,2.375,1.0593918184157602,70,True
1.125,0.0,3.0,1.059391818415739,70,True
1.125,1.0,0.5,1.6718430419051502,93,True
1.125,1.0,1.125,1.4166905859014463,92,True
1.125,1.0,1.75,1.2802423852884481,90,True
1.125,1.0,2.375,1.2010448453410645,88,True
1.125,1.0,3.0,1.1524300913232879,85,True
1.125,2.0,0.5,2.2649168270152376,92,True
1.125,2.0,1.125,1.7467436705995651,92,True
1.125,2.0,1.75,1.479445269645941,91,True
1.125,2.0,2.375,1.3280491185967966,89,True
1.125,2.0,3.0,1.2362363164512984,87,True
1.75,-2.0,0.5,-0.0358705240027732,121,True
1.75,-2.0,1.125,0.39502413099434575,128,True
1.75,-2.0,1.75,0.6697885170407767,129,True
1.75,-2.0,2.375,0.8617653145066589,127,True
1.75,-2.0,3.0,0.997884846757024,123,True
1.75,-1.0,0.5,0.6528219438251248,107,True
1.75,-1.0,1.125,0.87964920518937,109,True
1.75,-1.0,1.75,1.0185415705982364,108,True
1.75,-1.0,2.375,1.1104306581110257,106,True
1.75,-1.0,3.0,1.1730377285709386,102,True
1.75,0.0,0.5,1.3209020748056304,71,True
1.75,0.0,1.125,1.3209020748056375,71,True
1.75,0.0,1.75,1.3209020748056524,71,True
1.75,0.0,2.375,1.3209020748056137,71,True
1.75,0.0,3.0,1.3209020748056337,71,True
1.75,1.0,0.5,1.969844822161879,93,True
1.75,1.0,1.125,1.7271356101073263,92,True
1.75,1.0,1.75,1.589369118878812,90,True
1.75,1.0,2.375,1.5047339612056294,88,True
1.75,1.0,3.0,1.4498014862422008,85,True
1.75,2.0,0.5,2.6011471405191586,93,True
1.75,2.0,1.125,2.1047757082179857,92,True
1.75,2.0,1.75,1.8320607355330327,91,True
1.75,2.0,2.375,1.66887424804609,89,True
1.75,2.0,3.0,1.564681371147575,87,True
2.375,-2.0,0.5,0.13333238790390717,118,True
2.375,-2.0,1.125,0.5355327463401538,126,True
2.375,-2.0,1.75,0.7958492472609424,129,True
2.375,-2.0,2.375,0.9842429783313158,129,True
2.375,-2.0,3.0,1.1251760644344553,127,True
2.375,-1.0,0.5,0.8453716245079114,105,True
2.375,-1.0,1.125,1.0588196210758094,108,True
2.375,-1.0,1.75,1.193066250836021,108,True
2.375,-1.0,2.375,1.2853053088038011,106,True
2.375,-1.0,3.0,1.3510976817171647,104,True
2.375,0.0,0.5,1.538424406111587,72,True
2.375,0.0,1.125,1.5384244061115864,72,True
2.375,0.0,1.75,1.5384244061116237,72,True
2.375,0.0,2.375,1.5384244061115,72,True
2.375,0.0,3.0,1.5384244061115862,72,True
2.375,1.0,0.5,2.2137206659854836,92,True
2.375,1.0,1.125,1.982283926729357,92,True
2.375,1.0,1.75,1.8456940260836174,90,True
2.375,1.0,2.375,1.7585520488706063,88,True
2.375,1.0,3.0,1.6998599591107493,86,True
2.375,2.0,0.5,2.8725046690475864,93,True
2.375,2.0,1.125,2.396598095775098,92,True
2.375,2.0,1.75,2.123876869973206,91,True
2.375,2.0,2.375,1.954517494227102,89,True
2.375,2.0,3.0,1.8426040816006917,87,True
3.0,-2.0,0.5,0.2850591205462318,116,True
3.0,-2.0,1.125,0.662166693230371,124,True
3.0,-2.0,1.75,0.9074311514122166,128,True
3.0,-2.0,2.375,1.0884826469333513,130,True
3.0,-2.0,3.0,1.2289314881357463,130,True
3.0,-1.0,0.5,1.0157830331899482,103,True
3.0,-1.0,1.125,1.2173967190738715,107,True
3.0,-1.0,1.75,1.3462979987935177,108,True
3.0,-1.0,2.375,1.4371271523020317,107,True
3.0,-1.0,3.0,1.5040505086463736,105,True
3.0,0.0,0.5,1.7286659535140518,73,True
3.0,0.0,1.125,1.728665953514008,73,True
3.0,0.0,1.75,1.7286659535139857,73,True
3.0,0.0,2.375,1.7286659535140263,73,True
3.0,0.0,3.0,1.728665953514052,73,True
3.0,1.0,0.5,2.424778436282961,92,True
3.0,1.0,1.125,2.2036148492534595,91,True
3.0,1.0,1.75,2.0693767139249912,90,True
3.0,1.0,2.375,1.9813342283991922,88,True
3.0,1.0,3.0,1.920405270724246,86,True
3.0,2.0,0.5,3.105201092729643,93,True
3.0,2.0,1.125,2.6482773642587025,92,True
3.0,2.0,1.75,2.378177879222314,91,True
3.0,2.0,2.375,2.205743819314065,89,True
3.0,2.0,3.0,2.088867932998727,87,True
