output_parameters,matrix_dimensions,eigenvalue_fit,training_error,interpolation_error,extrapolation_error
"[-1.4479550870968275e-06, 0.39786065261084863, 0.8857266687762622]",1,0,115.71681104815138,0.6021361852853608,2.0115417499006707
"[0.0819663776998731, 87.68794462361453, 0.3727483425636797, 2.4694280942553184, 17.65123515266257, 0.14947176133267753, -0.7159697983308267, -0.31170971833706107, -405.302444209093]",2,0,0.2565613706276582,0.0006421861940993443,0.08613453918287686
"[-129.55960366806775, -0.034259490430603626, -10.628149675602872, 1.640280039381454, 0.40203836417092403, -0.2522168651570834, 0.6509083241168274, 0.14634491295576454, -89.07983397236649]",2,1,1.1252738733019938,0.005022229179594367,0.11600472341544249
"[0.08420825499478062, 482.28327793191255, 58.276059017542146, 0.39390844047485307, -3.102701848618638, 1.8359957443013408, 41.256340071579366, -9.31222131559725, 0.15132815779003916, 0.14056377810824733, 0.3595028280781684, -0.6233987067329932, 3.462217389110676, 5.068304221151787, 6.644668305678086, -36.0, -44.0, -38.0]",3,0,0.21174856816095156,0.0006802963566257622,70.51754441552248
"[-373.4282244453249, 0.045010214487413935, 414.1697041303492, -152.4367535810024, 7.735961782295256, 109.6492305518538, 0.39315633959824486, -9.437650461051003, -64.62836715954754, -265.09396179335846, -0.3096700357083908, 263.82798171393415, 0.15646873514335266, 1.20449587897127, -263.05183433687995, 9.723879899569056, 279.71878643781065, -344.81124674988405]",3,1,0.37454863204147715,0.0009146674150548907,84.31794284669795
"[-497.28538133029804, -0.035030408502823684, -84.85383940138173, 43.55855354605467, 1.0500795191789607, -14.673221826300658, 0.40312660172338544, 1.2477702258956462, -3.289376476805276, -8.023105643231032, 0.31572440355285286, 7.67103465088031, 0.14929070683996143, 0.5646558925785503, -7.784893360813804, 441.1490468256586, 312.03454808848414, 313.70085910338616]",3,2,1.1107557721449426,0.005107824636806575,444.34989196141794
"[0.06423878234483972, 333.0189846269031, 275.4791573708461, 209.5904524203651, 0.37106849096820427, 0.49918775844856983, -1.173454898831893, 2.0272097839091003, -156.7017007299467, 60.30076582913724, 49.49986363267962, -123.57824337491446, -85.49727908699668, 92.11338247578256, 0.16540015373582, -0.04410727179192565, 0.7931229685494501, -0.7017300638720032, -0.9869536841834171, 0.3500427455837045, 0.7761292003191171, 0.6193653728385174, 0.3472751123831906, -0.8730884993175229, -153.08407764322124, 384.04556237105635, 289.50119004157614, -327.70076160661415, 390.1634469766543, -178.2954460928811]",4,0,0.16461316573458418,0.0013449170293756965,2136.615351814911
"[-55.46781543771705, 269.23600451186877, 0.06574054900141559, 183.22413449663136, -99.22827250796945, 62.9880312776104, 4.38901975296524, -61.96869047739231, -71.49185784869383, -7.587296545994878, 11.005660792746994, 0.42080764466383486, 5.996297826297034, 71.72247546706318, -107.40142698649153, 29.268910611885346, 20.07516584989586, -68.157705605016, 21.696731865709364, -15.593832091971171, -42.43356278463092, 0.23207051187032413, 34.78462812067548, 80.9972655892295, -27.181322765521145, 215.59537792188735, 196.69868983087463, 252.78714522125006, 423.74154185781435, -355.91201462485196]",4,1,0.34815933341503413,0.0592198639364042,0.047813939208823916
"[41.677598274663865, 0.030594296872391253, -180.24578053917517, -4.501179375621627, 53.40927300767828, -40.796051877531326, 35.52184587623048, -283.86209333463677, -0.053794193076861896, 0.8586948449863832, -7.640141428489962, 1.8862296660979279, -4.958819120776406, -84.71516212722527, 53.198265851954915, 18.349666688494374, 3.7204646993686183, -211.62123428980166, 0.3514274487272185, 1.155497154671859, 1.4442409803964478, -0.05735436153171003, -5.861136212059418, -62.60266507821577, 451.7692748549971, 105.63409956260261, 338.5949352808402, -19.43095972541414, -469.5266855660036, -152.40709271420224]",4,2,0.8839335860432478,0.5092452533461553,0.10808982390405114
"[-61.46254414137199, -0.04402796466526041, -459.4247585730632, -498.3380393919192, -4.285417615070909, 1.167660524224231, -13.016469082483379, -2.5800450932099546, 0.40432551779861514, 0.5841810840930796, -0.43791626050206406, 116.16256548641682, 19.099699098898054, 3.434735767224531, -2.3874079345124013, 0.8901867247357953, 5.019343711189493, 1.0799680305375128, 0.16272093125595666, 0.43798611195560483, -0.002068634253523635, -12.133895535812288, -1.5721305901128273, 0.20145462843980663, -128.89022797022471, 324.37618792036847, -5.136611067861395, 45.21983828652856, -209.7719383491601, -381.7632743403633]",4,3,0.976564593074877,0.004904980561574818,51.42486034356422
"[210.63887563919363, 446.0868082863369, 428.85870225634335, 0.0882401211317529, 63.16144127872404, 49.15988139264053, 42.96949412746689, -14.730958361897198, -0.8341910673790222, -0.0005637668706837113, 16.3676850253052, -145.59598139318177, -0.698293629301932, -30.227345757152236, -21.73283303935896, 2.4186506323102535, -17.998521295987292, 0.3902836438044329, -1.9312635046713131, -2.4518166013693192, 16.776255756737235, 13.781917762164841, 11.42762752450247, 0.3348224589314445, -0.19933186689001922, 5.938085488664676, 17.04413006921487, 0.3233534990952776, 4.87893018010498, 2.0175018555993423, -0.86947592774398, -5.546083532719729, 0.1649398959351722, 0.7764959205324291, -4.847802191807981, 37.0, 16.0, 5.0, 36.0, 0.0, -12.0, -11.0, -3.0, 14.0, 8.0]",5,0,0.11761189138153624,0.00031218790084344445,56500.150208167004
"[46.22855219148729, 0.06714237624732636, 0.13281990904671592, -0.002036763822800928, 499.7624661086875, 45.73412034531234, 57.13089225602894, 64.2109365915681, 153.583604732151, 32.07266858282295, 71.80533787867114, 82.80161790423126, 126.10266408070454, 77.23072430425998, 94.69443228469467, 163.8383591728146, 78.91990617001805, 33.3118857588207, 242.09091621370249, 71.23135013910586, 31.716559071958258, 54.416845968365855, 64.2773195371294, 61.09316200338545, 20.520418173831526, 89.43354459244287, 109.19487843121908, 80.98172368252241, 37.11743064531065, 131.50256518975252, 123.44357496035886, 41.387005795289035, -192.92408969297358, 82.24637191030095, 6.8929496788730855, 24.233492236383427, 376.16654996904845, -188.5438826588229, -333.09998642666733, -124.77645951535214, 127.25497600604513, -223.26625706795244, 463.87573993535284, -399.3260635101467, 272.1074467666781]",5,1,0.049380794517164574,0.00028437957369059944,0.01864093560469905
"[4.294497483992543, 1.9675820375033997, -41.79066102383441, 0.07021702443877548, -1.36508928360896, 41.00253282906557, -26.303325552991552, 67.3833563037795, -15.787188565314294, 3.311110679958577, 34.86484243183251, -203.87867995393637, 18.755580411117887, 37.114162208581824, -474.8811819833247, -33.322539987882166, -17.1802897218185, -22.222371396678582, 52.80221137130906, -37.51504160650001, 11.781953664154601, -4.831615098282881, -249.27448942082134, 58.3247603784752, 16.8027918791826, 4.503856440700116, -83.86374849391267, -8.234645902356448, -52.0016432325873, 161.61474542883397, 18.885522122022373, -52.91204540831274, -55.76028445096443, -12.747314033430989, 40.40207248403759, -122.42267091375061, 263.0715551987048, 210.7645180654697, 91.78387499953692, -419.8351319705471, -161.16137457888044, 91.97353976022373, -435.259499356913, -83.50111956772434, -393.3515356988671]",5,2,2.214631724753985,0.0645285800678585,0.15472543191562793
"[-152.77863592130046, -499.63237113960207, 0.0545380385928019, -41.85919219829628, 27.353411323868205, 67.3387219585931, 76.61194895873136, 0.45061439246819707, 114.44738376382729, 155.21008813123126, -161.55131658021654, -37.458874380127185, 358.9193572705235, -131.98498840853242, -3.7453725184234914, 22.296385385640917, -38.688657374677746, 72.41032596155347, 424.2358793297444, -99.61502952832795, -12.42094980990966, 33.65654736691779, 6.795974371912143, -25.257877810065015, 64.65991109630049, 37.84632087561316, 6.703809629469634, 0.7630431194775082, 92.7072068262508, 0.24906099176638455, 9.216532585048267, 10.629730779771563, -73.08688968369334, 40.892709742821886, 174.81213589904254, -284.4619931185273, -391.05254561629545, 395.01242668822715, -217.72739159789626, -493.9932535007465, 247.38921638644797, -405.7327962386478, -247.47002764070612, -300.3266866613883, -47.874013374541846]",5,3,0.7918652444866938,0.009410211626950417,2689.6494264060448
"[-441.2544266177464, -69.46022882307479, -496.87283107073483, -487.91702813368687, -0.04413033195948212, -123.060851563463, -0.21310296048180966, -11.0912727725102, -70.80440903449019, -0.1480522341383884, -7.103174901956631, 0.7834946302813446, 4.7081295018926586, -1.2545579138679035, 28.412021832510476, 9.986137951569754, 0.5122477541669034, -87.86625189939308, 0.1543948653904532, 0.4045702422808956, -12.155972462572413, 0.5468319204413418, -0.6603247841183703, -3.6671648104300427, -0.10935617768043865, -0.6401297884296993, 0.30291862219416915, -2.5496045016236875, -0.9667323235765397, 0.29247625767923746, -1.156697916490415, 0.07087121606855021, -20.4865628865087, 0.15155788518810473, 0.1615505794181469, -74.01296175507605, -455.6659003113757, -463.6753873887576, 270.9485994091947, -229.92821049035047, -422.792823665633, -476.0417410626327, -254.60139129729941, 304.11098096697765, -276.8310535382084]",5,4,0.9767943318537421,0.00490762889992363,1832.2960429962227
